iter	Passed	Remaining
862	43658	35159
863	43708	35108
864	43757	35056
865	43811	35009
866	43860	34956
867	43911	34906
868	43962	34856
869	44008	34802
870	44050	34744
871	44100	34694
872	44150	34642
873	44200	34591
874	44308	34586
875	44358	34534
876	44409	34484
877	44467	34439
878	44518	34389
879	44571	34340
880	44622	34290
881	44670	34237
882	44726	34190
883	44775	34138
884	44814	34079
885	44864	34027
886	44913	33976
887	44966	33927
888	45014	33875
889	45063	33823
890	45108	33767
891	45157	33716
892	45209	33666
893	45260	33616
894	45303	33559
895	45352	33507
896	45399	33455
897	45451	33405
898	45510	33360
899	45559	33309
900	45612	33259
901	45662	33209
902	45715	33160
903	45770	33112
904	45823	33063
905	45875	33014
906	45926	32964
907	45969	32907
908	46017	32855
909	46062	32800
910	46114	32751
911	46166	32701
912	46213	32647
913	46262	32596
914	46314	32546
915	46363	32494
916	46440	32462
917	46515	32429
918	46572	32383
919	46620	32329
920	46674	32282
921	46717	32225
922	46764	32172
923	46812	32120
924	46864	32070
925	46915	32020
926	46966	31969
927	47023	31923
928	47077	31875
929	47133	31827
930	47193	31783
931	47252	31738
932	47321	31699
933	47384	31657
934	47443	31612
935	47497	31563
936	47549	31513
937	47612	31471
938	47669	31424
939	47731	31380
940	47785	31331
941	47842	31285
942	47892	31234
943	47942	31182
944	47994	31132
945	48044	31081
946	48102	31035
947	48154	30985
948	48205	30934
949	48255	30883
950	48307	30833
951	48363	30786
952	48409	30732
953	48459	30680
954	48508	30628
955	48561	30579
956	48612	30528
957	48658	30474
958	48709	30424
959	48761	30374
960	48817	30326
961	48868	30276
962	48917	30224
963	48960	30168
964	49013	30118
965	49063	30068
966	49115	30017
967	49160	29963
968	49207	29910
969	49259	29860
970	49303	29805
971	49353	29754
972	49448	29730
973	49498	29678
974	49550	29628
975	49603	29579
976	49653	29527
977	49697	29472
978	49739	29416
979	49790	29366
980	49836	29312
981	49885	29260
982	49930	29206
983	49983	29156
984	50029	29103
985	50084	29055
986	50132	29002
987	50175	28947
988	50223	28894
989	50265	28838
990	50308	28784
991	50352	28729
992	50399	28676
993	50445	28622
994	50489	28568
995	50535	28514
996	50578	28459
997	50631	28410
998	50684	28361
999	50734	28310
1000	50782	28257
1001	50831	28205
1002	50883	28156
1003	50928	28102
1004	50976	28050
1005	51026	27998
1006	51077	27947
1007	51129	27898
1008	51179	27846
1009	51230	27796
1010	51274	27742
1011	51327	27692
1012	51372	27638
1013	51415	27583
1014	51525	27564
1015	51577	27514
1016	51626	27463
1017	51675	27411
1018	51727	27361
1019	51772	27307
1020	51815	27252
